position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender,squareImage
66,66,Liang Xinjun,Liang,liang-xinjun,liang-xinjun,3800,51,conglomerate,Diversified,M,//specials-images.forbesimg.com/imageserve/5a7cd21ca7ea431690130abd/416x416.jpg?background=000000&cropX1=609&cropX2=3589&cropY1=287&cropY2=3264
67,67,Liu Zhongtian,Liu,liu-zhongtian,liu-zhongtian,3750,54,aluminum products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/43033461aba1cde3e199b2a19b895c5c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=126&cropY2=870
68,68,Zhao Tao,Zhao,zhao-tao,zhao-tao,3740,53,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/5a80f59c4bbe6f2652f543c3/416x416.jpg?background=000000&cropX1=315&cropX2=2923&cropY1=563&cropY2=3172
69,69,Gao Tianguo,Gao,gao-tianguo,no-pic,3700,67,"real estate, finance",Real Estate,M,
70,69,Zhang Xin,Zhang,zhang-xin,zhang-xin,3700,53,real estate,Real Estate,F,//specials-images.forbesimg.com/imageserve/5bcfb90aa7ea43705914da5a/416x416.jpg?background=000000&cropX1=1617&cropX2=3440&cropY1=640&cropY2=2462
71,71,Huang Rulun,Huang,huang-rulun,huang-rulun,3650,67,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5d24e1fe2ea1ddd9a7543aacb08daff5/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=3&cropY2=747
72,71,Li Wa,Li,li-wa,li-wa,3650,53,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/1d225270d1a088f84333d4b2d0d6932a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=190&cropY2=934
73,73,Chen Dongsheng,Chen,chen-dongsheng,no-pic,3600,61,insurance,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/5bcfa21f31358e5b43344962/416x416.jpg?background=000000&cropX1=0&cropX2=3856&cropY1=262&cropY2=4121
74,73,Sun Guangxin,Sun,sun-guangxin,sun-guangxin,3600,56,diversified,Diversified,M,//specials-images.forbesimg.com/imageserve/5bcfcc6ea7ea43705914dba1/416x416.jpg?background=000000&cropX1=852&cropX2=4112&cropY1=21&cropY2=3280
75,73,Zhang Jin,Zhang,zhang-jin,no-pic,3600,47,diversified,Diversified,M,
76,76,Lu Xiangyang,Lu,lu-xiangyang,lu-xiangyang,3500,56,"automobiles, batteries",Automotive,M,//specials-images.forbesimg.com/imageserve/56c67d68e4b062f6b59a141e/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=168&cropY2=911
77,76,Zhang Fan,Zhang,zhang-fan,no-pic,3500,53,touch screens,Technology,M,
78,78,Xu Jingren,Xu,xu-jingren,xu-jingren,3450,74,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/5a05ffc4a7ea436b47b53402/416x416.jpg?background=000000&cropX1=450&cropX2=3283&cropY1=0&cropY2=2832
79,79,He Qiaonv,He,he-qiaonv,he-qiaonv,3400,52,landscape architecture,Service,F,//specials-images.forbesimg.com/imageserve/589cfcd8a7ea431f32192891/416x416.jpg?background=000000&cropX1=92&cropX2=744&cropY1=147&cropY2=800
80,79,Ma Xiuhui,Ma,ma-xiuhui,ma-xiuhui,3400,48,LED lighting,Manufacturing,F,//specials-images.forbesimg.com/imageserve/5a0b26d3a7ea436b47b55a42/416x416.jpg?background=000000&cropX1=123&cropX2=2403&cropY1=105&cropY2=2386
81,81,Li Shuirong,Li,li-shuirong,li-shuirong,3380,62,petrochemicals,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7ccb71a7ea4316901309e5/416x416.jpg?background=000000&cropX1=271&cropX2=2191&cropY1=3&cropY2=1925
82,82,Shi Yuzhu,Shi,shi-yuzhu,shi-yuzhu,3350,56,"online games, investments",Diversified,M,//specials-images.forbesimg.com/imageserve/5a7cecbb4bbe6f2652f51076/416x416.jpg?background=000000&cropX1=391&cropX2=2589&cropY1=9&cropY2=2206
83,83,Qiu Guanghe,Qiu,qiu-guanghe,qiu-guanghe,3300,67,fashion retail,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5bcfae7b31358e5b43344b26/416x416.jpg?background=000000&cropX1=256&cropX2=1423&cropY1=0&cropY2=1166
84,83,Wang Jian,Wang,wang-jian-1,wang-jian-1,3300,65,healthcare services,Technology,M,//specials-images.forbesimg.com/imageserve/5a875bad31358e4955ada843/416x416.jpg?background=000000&cropX1=5&cropX2=1193&cropY1=271&cropY2=1459
85,83,Zhang Li,Zhang,zhang-li,zhang-li,3300,66,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589f297d31358e1a35ab26d9/416x416.jpg?background=000000&cropX1=85&cropX2=739&cropY1=3&cropY2=657
86,86,Lai Meisong,Lai,lai-meisong,no-pic,3250,48,package delivery,Logistics,M,//specials-images.forbesimg.com/imageserve/58c33d4131358e1a35acccef/416x416.jpg?background=000000&cropX1=47&cropX2=744&cropY1=201&cropY2=899
87,87,Ji Qi,Ji,ji-qi,no-pic,3200,52,"hotels, motels",Real Estate,M,//specials-images.forbesimg.com/imageserve/5a7ce58d4bbe6f2652f50fbb/416x416.jpg?background=000000&cropX1=666&cropX2=3004&cropY1=0&cropY2=2336
88,87,Frank Wang,Wang,frank-wang,frank-wang,3200,38,drones,Technology,M,http://specials-images.forbesimg.com/imageserve/57a3950331358e4fd70bee4d/416x416.jpg?background=000000&cropX1=50&cropX2=631&cropY1=35&cropY2=617
89,89,Qin Yinglin,Qin,qin-yinglin,qin-yinglin,3150,53,pig breeding,Food and Beverage,M,//specials-images.forbesimg.com/imageserve/a3722ff48b63420aa857d7c876d5c521/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=6&cropY2=746
90,90,Chen Fashu,Chen,chen-fashu,chen-fashu,3100,58,investments,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/9c4a0c1973e27328429243fc03202ab6/416x416.jpg?background=000000&cropX1=144&cropX2=839&cropY1=103&cropY2=798
91,90,Ma Xingtian,Ma,ma-xingtian,ma-xingtian,3100,49,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/53248972c5824d9bcf7c7db5aecfbf2d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=3&cropY2=747
92,92,Ren Jianhua,Ren,ren-jianhua,ren-jianhua,3050,62,kitchen appliances,Manufacturing,M,//specials-images.forbesimg.com/imageserve/562a5a9ee4b0ffa7afe63015/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=84&cropY2=827
93,93,Chen Bang,Chen,chen-bang,chen-bang,3030,53,hospitals,Healthcare,M,//specials-images.forbesimg.com/imageserve/2b6a0c7bcd0e173f3b342365e3667d14/416x416.jpg?background=000000&cropX1=27&cropX2=705&cropY1=63&cropY2=741
