name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Zhang Zhangsun,Zhang,zhang-zhangsun,zhang-zhangsun,9.487,real estate,Real Estate,M,China,1547574901334,1189.311,1791,1791,//specials-images.forbesimg.com/imageserve/d1c69bd9f67afdb1778c9bb7d0975966/416x416.jpg?background=000000&cropX1=188&cropX2=615&cropY1=114&cropY2=541
Kostyantin Zhevago,Zhevago,kostyantin-zhevago,kostyantin-zhevago,6.202,mining,Metals & Mining,M,Ukraine,1547574901334,1325.029,1645,1645,//specials-images.forbesimg.com/imageserve/5a814e8931358e4955ad330f/416x416.jpg?background=000000&cropX1=67&cropX2=1440&cropY1=0&cropY2=1374
Zhou Guohui,Zhou,zhou-guohui,zhou-guohui,,logistics,Logistics,M,China,1518126091386,,,,//specials-images.forbesimg.com/imageserve/56c698a4e4b062f6b59a164a/416x416.jpg?background=000000&cropX1=58&cropX2=744&cropY1=47&cropY2=733
Zhu Wenchen,Zhu,zhu-wenchen,zhu-wenchen,4.438,pharmaceuticals,Healthcare,M,China,1547574901334,1077.334,1929,1929,//specials-images.forbesimg.com/imageserve/2ab35b49b2ece993fb88ee046c098dea/416x416.jpg?background=000000&cropX1=42&cropX2=744&cropY1=44&cropY2=747
Lia Maria Aguiar,Aguiar,lia-maria-aguiar,no-pic-female,-4.133,banking,Finance and Investments,F,Brazil,1547574901334,1385.166,1592,1592,//specials-images.forbesimg.com/imageserve/5a7b8ca54bbe6f2652f4f0ad/416x416.jpg?background=000000&cropX1=2101&cropX2=3749&cropY1=1188&cropY2=2836
Len Ainsworth,Ainsworth,len-ainsworth,len-ainsworth,,betting machines,Gambling & Casinos,M,Australia,1518125132017,,,,//specials-images.forbesimg.com/imageserve/59f74a37a7ea436b47b48aab/416x416.jpg?background=000000&cropX1=2&cropX2=1173&cropY1=73&cropY2=1245
Jose Maria Aristrain,Aristrain,jose-maria-aristrain,no-pic,,Steel,Metals & Mining,M,Spain,1538748759957,,,,
Ayman Asfari,Asfari,ayman-asfari,ayman-asfari,,oil services,Energy,M,United Kingdom,1518126130927,,,,//specials-images.forbesimg.com/imageserve/5a8154da31358e4955ad333b/416x416.jpg?background=000000&cropX1=1297&cropX2=3960&cropY1=6&cropY2=2671
Thomas Bailey,Bailey,thomas-bailey,no-pic,0,money management,Finance and Investments,M,United States,1547574901334,1200,1778,1779,
Bang Jun-Hyuk,Bang,bang-jun-hyuk,no-pic,-18.459,online gaming,Technology,M,South Korea,1547574901333,2074.148,1115,1115,//specials-images.forbesimg.com/imageserve/58a085814bbe6f0e5586979f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=44&cropY2=788
Mehmet Rustu Basaran,Basaran,mehmet-rustu-basaran,mehmet-rustu-basaran,,"banking, gas",Energy,M,Turkey,1538748792412,,,,//specials-images.forbesimg.com/imageserve/38f6493ead1647157fbdfeecfdc0a6d3/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=14&cropY2=613
Eduardo Belmont Anderson,Belmont Anderson,eduardo-belmont-anderson,no-pic,0,cosmetics,Fashion & Retail,M,Peru,1547574901334,1086.266,1915,1915,
Sara Blakely,Blakely,sara-blakely,sara-blakely,,Spanx,Fashion & Retail,F,United States,1498161000923,,,,//specials-images.forbesimg.com/imageserve/5a8f0f414bbe6f0fa8264701/416x416.jpg?background=000000&cropX1=967&cropX2=3184&cropY1=21&cropY2=2236
