Rank,Name,Total_net_worth,Country,Industry
341,Kjeld Kristiansen,$4.74B,Denmark,Consumer
342,Kelcy Warren,$4.72B,United States,Energy
343,Lu Weiding,$4.72B,China,Diversified
344,David Filo,$4.71B,United States,Technology
345,Pierre Bellon,$4.71B,France,Retail
346,Samuel Yin,$4.70B,Taiwan,Diversified
347,Shigenobu Nagamori,$4.70B,Japan,Industrial
348,Hiroshi Mikitani,$4.69B,Japan,Retail
349,Tom Love,$4.69B,United States,Retail
350,Judy Love,$4.69B,United States,Retail
351,Axel Oberwelland,$4.68B,Germany,Food & Beverage
352,Li Shuirong,$4.68B,China,Energy
353,Terry Gou,$4.66B,Taiwan,Industrial
354,Rahul Bajaj,$4.65B,India,Diversified
355,Michael Herz,$4.65B,Germany,Consumer
356,Wolfgang Herz,$4.65B,Germany,Consumer
357,Anthony Pratt,$4.64B,Australia,Industrial
358,Helen Johnson-Leipold,$4.64B,United States,Consumer
359,Liz Mohn,$4.63B,Germany,Media & Telecom
360,Guenther Fielmann,$4.63B,Germany,Consumer
361,Pansy Catilina Ho,$4.62B,Hong Kong,Entertainment
362,Taylor Thomson,$4.61B,Canada,Media & Telecom
363,Sofie Kiaer Kristiansen,$4.59B,Denmark,Consumer
364,Agnete Thinggaard,$4.59B,Denmark,Consumer
365,Peter Thomson,$4.59B,Canada,Media & Telecom
366,Whitney MacMillan,$4.58B,United States,Commodities
367,Gwendolyn Sontheim Meyer,$4.58B,United States,Commodities
368,Pauline MacMillan Keinath,$4.58B,United States,Commodities
369,Thomas Kristiansen,$4.58B,Denmark,Consumer
370,Charles Johnson,$4.58B,United States,Finance
371,Herbert Johnson III,$4.54B,United States,Consumer
372,Winnie Johnson,$4.54B,United States,Consumer
373,Curt Johnson III,$4.54B,United States,Consumer
374,Udo Tschira,$4.54B,Germany,Technology
375,Harald Tschira,$4.54B,Germany,Technology
376,Olav Thon,$4.53B,Norway,Real Estate
377,Edward Roski,$4.53B,United States,Real Estate
378,Ananda Krishnan,$4.52B,Malaysia,Diversified
379,Masatoshi Ito,$4.51B,Japan,Retail
